,Region,HH_numbers,Marital_status,Age,Children,Female,Drafted,Education,Wellbeing,Employed,Sector,Employment_status,Weekly_working_hours,Occupation,Wage,Second_job,Additional_training_need,Useful_education,Foreign_language_besides_Rus,Foreign_language1,Foreign_language2,Foreign_language1_level,Foreign_language2_level,IT_skills,Read_instructions,Read_letters,Read_articles,Read_journals,Read_manuals,Read_invoices,Read_diagrams,Write_letters,Write_articles,Write_reports,Fill_in_forms,Work_with_prices,Work_with_fractions_percentages,Work_with_graphs,Work_with_formulas,Work_with_statistics,Work_with_computer,Comp_tools_email,Comp_tools_Inet,Comp_tools_Transactions,Comp_tools_Excel,Comp_tools_Word,Comp_tools_Programming,Comp_tools_teleconferences,Comp_tools_other,Required_Comp_skills_level,Have_comp_skills_for_work,Comp_skills_effect_on_employment,Language_skills_on_employment,Russian,English,French,Nothing,Facebook_user,FB_friends,Actual_friends_from_fb,LinkedIn_user,LinkedIn_followers,Actual_followers_from_LinkedIn,Professional_match,Required_education_for_the_job,Have_skills_for_more_demanding_job
56,Երևան,3,Չամուսնացած,38,0,1,,Բակալավր,Վատ,0,,,,,,,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Ամեն օր,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Այո,1,1,1,1,1,0,1,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,430,250,1,500,100,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
57,Շիրակ,5,Ամուսնացած,27,0,1,,Բակալավր,Լավ,0,,,,,,,,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,0,0,0,1,1,200,200,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
58,Երևան,5,Ամուսնացած,28,0,1,,Բակալավր,Լավ,1,N,Գործատու (սեփականատեր՝ վարձու աշխատող(ներ)ի մշտական ներգրավմամբ),40,5,100000,Այո,Այո,Ինչ-որ չափով օգտակար,1,Անգլերեն,Թուրքերեն,Միջին իմացություն,Շատ սահմանափակ իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Ամեն օր,Երբեք,Այո,1,1,1,1,1,0,1,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,700,30,0,,,Այո,Միջին մասնագիտական կրթություն պահանջվում է,Այո
59,Երևան,3,Չամուսնացած,22,0,0,1,Միջնակարգ/Ավագ դպրոց,Լավ,1,M,Այլ ինքնազբաղված աշխատող (ֆրիլանս/հեռակա),70,2,1000000,Ոչ,Ոչ,"Ոչ օգտակար, ոչ էլ անօգուտ",0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ոչ,0,0,0,0,0,0,0,0,Ցածր,Այո,Ոչ,Ոչ,0,0,0,1,1,250,100,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Միջին մասնագիտական կրթություն պահանջվում է,Այո
60,Երևան,11,Ամուսնացած,30,3,0,1,Միջնակարգ/Ավագ դպրոց,Բավարար,1,D,Վարձու աշխատող,11,9,350000,Այո,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Ամեն օր,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,1,1,0,0,1,304,6,0,,,Այո,Միջին մասնագիտական կրթություն պահանջվում է,Այո
61,Երևան,1,Չամուսնացած,20,0,0,1,Միջնակարգ/Ավագ դպրոց,Բավարար,1,N,Վարձու աշխատող,48,5,200000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Միջին,Այո,Այո,Այո,1,0,0,0,1,500,2,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
62,Երևան,4,Չամուսնացած,24,0,0,1,Միջին մասնագիտական,Բավարար,1,I,Վարձու աշխատող,50,5,120000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,0,0,0,1,1,140,130,0,,,Այո,Միջին մասնագիտական կրթություն պահանջվում է,Այո
64,Երևան,4,Ամուսնացած,46,2,1,,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,0,,,,,,,,Ինչ-որ չափով օգտակար,0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Ցածր,Այո,Ոչ,Ոչ,1,0,0,0,1,100,20,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
65,Երևան,11,Ամուսնացած,36,3,0,1,Միջնակարգ/Ավագ դպրոց,Վատ,0,,,,,,,Այո,Ինչ-որ չափով օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Ցածր,Ոչ,Ոչ,Ոչ,1,1,0,0,0,,,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Միջին մասնագիտական կրթություն պահանջվում է,Այո
66,Երևան,1,Չամուսնացած,27,0,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,1,F,Վարձու աշխատող,40,1,250000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Այո,1,0,0,1,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,0,0,0,1,290,5,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Ոչ
67,Արագածոտն,4,Ամուսնացած,40,1,1,,Միջնակարգ/Ավագ դպրոց,Լավ,0,,,,,,,Ոչ,"Ոչ օգտակար, ոչ էլ անօգուտ",0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,0,0,0,0,1,240,100,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
68,Երևան,5,Ամուսնացած,45,0,0,1,Բակալավր,Բավարար,1,I,Վարձու աշխատող,42,1,250000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Շատ սահմանափակ իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Այո,1,1,0,1,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,0,0,0,1,300,10,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
69,Երևան,4,Ամուսնացած,48,1,0,1,Միջին մասնագիտական,Բավարար,1,F,Գործատու (սեփականատեր՝ վարձու աշխատող(ներ)ի մշտական ներգրավմամբ),60,1,300000,Ոչ,Ոչ,Սահմանափակ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Այո,1,1,1,1,1,0,0,0,Միջին,Ոչ,Ոչ,Ոչ,1,0,0,0,1,300,2,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
70,Շիրակ,5,Ամուսնացած,40,0,0,1,Բակալավր,Բավարար,1,J,Վարձու աշխատող,48,3,190000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Մասնագիտացված իմացություն (ծրագրավորում),Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Այո,1,1,0,1,1,0,1,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,250,200,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
71,Երևան,4,Ամուսնացած,48,2,0,1,Միջին մասնագիտական,Վատ,1,K,Վարձու աշխատող,40,7,106000,Ոչ,Ոչ,Սահմանափակ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Այո,0,0,0,1,1,0,0,0,Ցածր,Այո,Ոչ,Ոչ,1,0,0,0,1,,,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Ոչ
72,Շիրակ,4,Ամուսնացած,28,2,1,,Միջին մասնագիտական,Լավ,1,G,Վարձու աշխատող,48,5,50000,Այո,Ոչ,Շատ օգտակար,1,Ֆրանսերեն,Անգլերեն,Միջին իմացություն,Շատ սահմանափակ իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Այո,1,1,0,1,1,0,0,0,Միջին,Այո,Ոչ,Այո,1,0,1,0,1,80,40,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
74,Երևան,4,Ամուսնացած,48,1,0,1,Բակալավր,Վատ,0,,,,,,,Դժվարանում եմ պատասխանել,Շատ օգտակար,1,Անգլերեն,Գերմաներեն,Միջին իմացություն,Միջին իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,1,1,0,0,1,400,10,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
75,Երևան,6,Ամուսնացած,45,1,0,1,Բակալավր,Բավարար,1,C,Վարձու աշխատող,48,1,270000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Շատ սահմանափակ իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,0,0,1,0,1,0,Միջին,Այո,Այո,Այո,1,1,0,0,1,1000,10,0,,,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
76,Շիրակ,5,Ամուսնացած,45,1,0,1,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,1,K,Վարձու աշխատող,40,1,425000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Ամեն օր,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Ամիսը մեկ անգամից քիչ,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Այո,1,1,1,1,1,0,1,0,Բարձր,Այո,Ոչ,Ոչ,1,1,0,0,1,450,100,0,,,Այո,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
77,Շիրակ,5,Չամուսնացած,22,1,1,,Բակալավր,Բավարար,1,N,Վարձու աշխատող,30,3,45000,Այո,Այո,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,0,0,0,0,Բարձր,Այո,Ոչ,Ոչ,0,1,0,0,1,850,30,1,250,50,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
78,Շիրակ,2,Ամուսնացած,42,0,1,,Միջնակարգ/Ավագ դպրոց,Շատ վատ,0,,,,,,,,Սահմանափակ օգտակար,0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Միջին,Ոչ,Ոչ,Ոչ,0,0,0,1,1,0,0,0,,,Որևէ հատուկ մասնագիտության համար ուսումնառություն չեմ ստացել,Միջին մասնագիտական կրթություն չի պահանջվում,Ոչ
79,Շիրակ,4,Չամուսնացած,28,0,0,1,Միջնակարգ/Ավագ դպրոց,Բավարար,1,F,Վարձու աշխատող,60,9,333333,Ոչ,Ոչ,Շատ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ոչ,0,0,0,0,0,0,0,0,Ցածր,Ոչ,Ոչ,Ոչ,0,0,0,1,1,200,1,0,,,Ոչ,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
80,Երևան,3,Չամուսնացած,36,0,1,,Միջին մասնագիտական,Բավարար,0,,,,,,,,Շատ օգտակար,0,,,,,Ընդհանրապես չեմ տիրապետում (չեմ օգտագործում),Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Այո,Այո,Այո,0,0,0,1,1,600,100,0,,,Այո,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
81,Շիրակ,5,Ամուսնացած,30,1,0,1,Միջին մասնագիտական,Լավ,1,G,Գործատու (սեփականատեր՝ վարձու աշխատող(ներ)ի մշտական ներգրավմամբ),63,1,190000,Ոչ,Ոչ,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Միջին իմացություն,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Դժվարանում եմ պատասխանել,Դժվարանում եմ պատասխանել,Ամեն օր,Դժվարանում եմ պատասխանել,Ամեն օր,Դժվարանում եմ պատասխանել,Դժվարանում եմ պատասխանել,Դժվարանում եմ պատասխանել,Դժվարանում եմ պատասխանել,Այո,1,0,0,0,1,0,0,0,Միջին,Ոչ,Այո,Այո,1,0,0,0,1,100,100,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
82,Երևան,3,Չամուսնացած,21,0,0,1,Բակալավր,Վատ,0,,,,,,,,Շատ օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Այո,0,1,1,1,1,0,0,0,Բարձր,Այո,Այո,Ոչ,1,1,0,0,1,5,0,1,0,0,Այո,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
84,Շիրակ,6,Ամուսնացած,23,1,0,0,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,0,,,,,,,,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Մասնագիտացված իմացություն (ծրագրավորում),Դժվարանում եմ պատասխանել,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Ամեն օր,Այո,1,1,1,1,1,1,1,0,Բարձր,Այո,Այո,Ոչ,1,0,0,0,1,60,40,0,,,Այո,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
85,Արագածոտն,2,Չամուսնացած,32,0,1,,Բակալավր,Վատ,1,O,Վարձու աշխատող,20,2,120000,Ոչ,Այո,Շատ օգտակար,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Այո,1,1,0,0,1,0,0,0,Միջին,Այո,Ոչ,Ոչ,0,1,0,0,1,180,5,0,,,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,
